epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.378,1.62111,2.5858,0.01369,0.7915,0.66022,0.7849,0.44316,1.41407,1.16703,0.01238,0.00065942,0.00065942,0.00065942
2,199.609,1.55069,1.25401,0.01296,0.7552,0.83092,0.84391,0.5057,1.37463,0.78458,0.01232,0.00131296,0.00131296,0.00131296
3,255.837,1.56768,1.19117,0.01404,0.81085,0.82839,0.87164,0.49681,1.47059,0.80992,0.01352,0.0019533,0.0019533,0.0019533
4,306.754,1.51912,1.04664,0.01314,0.83014,0.78744,0.89102,0.55296,1.36536,0.76798,0.01156,0.0019406,0.0019406,0.0019406
5,357.2,1.46888,1.01963,0.01256,0.89455,0.81964,0.91679,0.47008,1.65856,0.70771,0.01381,0.0019208,0.0019208,0.0019208
6,406.731,1.42462,0.89299,0.01209,0.8689,0.82609,0.90666,0.56531,1.28506,0.65011,0.01057,0.001901,0.001901,0.001901
7,456.423,1.39202,0.85885,0.01147,0.8454,0.91787,0.94119,0.62701,1.18835,0.58034,0.00983,0.0018812,0.0018812,0.0018812
8,506.947,1.38121,0.80318,0.01132,0.86322,0.8744,0.92702,0.60847,1.24782,0.54798,0.01028,0.0018614,0.0018614,0.0018614
9,557.025,1.35377,0.8267,0.01114,0.92517,0.89372,0.95213,0.62713,1.21051,0.52302,0.00969,0.0018416,0.0018416,0.0018416
10,607.176,1.32319,0.78759,0.0108,0.92672,0.83092,0.94409,0.60368,1.26782,0.52131,0.01016,0.0018218,0.0018218,0.0018218
11,657.694,1.29689,0.74225,0.01064,0.93132,0.87923,0.93155,0.56076,1.38685,0.62454,0.01194,0.001802,0.001802,0.001802
12,708.547,1.27025,0.73322,0.01013,0.89865,0.94238,0.95582,0.65337,1.12321,0.48048,0.00918,0.0017822,0.0017822,0.0017822
13,758.798,1.23994,0.70683,0.01021,0.92372,0.87746,0.94461,0.62584,1.2236,0.43929,0.00977,0.0017624,0.0017624,0.0017624
14,808.923,1.2274,0.72418,0.00995,0.89733,0.90338,0.95466,0.65359,1.15551,0.50709,0.00956,0.0017426,0.0017426,0.0017426
15,859.355,1.19541,0.70147,0.00953,0.9129,0.91136,0.95793,0.66535,1.13064,0.43337,0.00904,0.0017228,0.0017228,0.0017228
16,909.724,1.18376,0.67222,0.00949,0.93228,0.89855,0.95875,0.68961,1.08707,0.38362,0.00856,0.001703,0.001703,0.001703
17,960.503,1.17145,0.66116,0.00918,0.90503,0.94686,0.95387,0.65426,1.14813,0.43496,0.00925,0.0016832,0.0016832,0.0016832
18,1010.84,1.16855,0.63639,0.00904,0.93158,0.92091,0.96851,0.68145,1.09812,0.39648,0.00848,0.0016634,0.0016634,0.0016634
19,1061.01,1.14705,0.61534,0.00917,0.93206,0.90338,0.95892,0.67331,1.05818,0.42661,0.00811,0.0016436,0.0016436,0.0016436
20,1111.22,1.12261,0.61874,0.00898,0.91016,0.8744,0.95373,0.67811,1.09505,0.43566,0.00855,0.0016238,0.0016238,0.0016238
21,1161.67,1.1159,0.61329,0.00884,0.94036,0.91401,0.96184,0.68985,1.04069,0.38332,0.00797,0.001604,0.001604,0.001604
22,1212.45,1.12781,0.59871,0.00875,0.89665,0.95652,0.96434,0.67389,1.06955,0.38095,0.00843,0.0015842,0.0015842,0.0015842
23,1263.47,1.08906,0.58329,0.0084,0.94249,0.95006,0.9807,0.6862,1.0846,0.33674,0.00831,0.0015644,0.0015644,0.0015644
24,1313.91,1.073,0.5951,0.00837,0.90259,0.90338,0.96457,0.66726,1.11902,0.40414,0.00873,0.0015446,0.0015446,0.0015446
25,1364.15,1.09546,0.60053,0.00864,0.93916,0.92754,0.95636,0.69151,1.07726,0.41045,0.00845,0.0015248,0.0015248,0.0015248
26,1414.78,1.06439,0.58022,0.00829,0.886,0.95652,0.96242,0.66561,1.13093,0.41695,0.00845,0.001505,0.001505,0.001505
27,1466.02,1.04907,0.56404,0.00825,0.92888,0.94641,0.9697,0.69066,1.05209,0.37723,0.00786,0.0014852,0.0014852,0.0014852
28,1517.13,1.04032,0.54813,0.00796,0.92211,0.9372,0.97095,0.70014,1.04399,0.37999,0.00772,0.0014654,0.0014654,0.0014654
29,1567.5,1.03469,0.5418,0.00808,0.93748,0.92754,0.97155,0.71601,1.0428,0.38195,0.00798,0.0014456,0.0014456,0.0014456
30,1617.6,1.04061,0.54489,0.00814,0.93038,0.9684,0.97115,0.70463,1.03284,0.37931,0.00782,0.0014258,0.0014258,0.0014258
31,1668.6,1.03591,0.55171,0.00795,0.96547,0.94565,0.96763,0.72199,0.99137,0.3302,0.0074,0.001406,0.001406,0.001406
32,1720.04,1.00889,0.50181,0.00768,0.95885,0.92754,0.97005,0.69146,1.0501,0.3508,0.00798,0.0013862,0.0013862,0.0013862
33,1770.97,0.98571,0.50976,0.00743,0.94753,0.95966,0.97184,0.71782,1.05223,0.33192,0.00782,0.0013664,0.0013664,0.0013664
34,1821.34,1.00492,0.51934,0.00762,0.94848,0.96135,0.97699,0.72239,1.04012,0.36525,0.00824,0.0013466,0.0013466,0.0013466
35,1871.56,1.00559,0.50434,0.00745,0.94672,0.97101,0.9751,0.70826,1.07666,0.33542,0.00808,0.0013268,0.0013268,0.0013268
36,1922.88,0.9659,0.51194,0.00748,0.96797,0.95169,0.96027,0.71252,0.96852,0.34035,0.00718,0.001307,0.001307,0.001307
37,1974.32,0.98367,0.50047,0.00765,0.95556,0.95169,0.96751,0.72013,1.024,0.33528,0.00763,0.0012872,0.0012872,0.0012872
38,2025,0.95411,0.48974,0.00742,0.97026,0.94556,0.96693,0.72043,0.99486,0.31261,0.00729,0.0012674,0.0012674,0.0012674
39,2075.4,0.9506,0.48221,0.00726,0.9616,0.96782,0.97541,0.72033,0.99867,0.31285,0.00739,0.0012476,0.0012476,0.0012476
40,2125.99,0.93589,0.45188,0.00716,0.93891,0.9653,0.96824,0.71494,0.99455,0.31239,0.00756,0.0012278,0.0012278,0.0012278
41,2177.46,0.93398,0.4696,0.00704,0.97086,0.97101,0.98157,0.73951,0.96448,0.29646,0.007,0.001208,0.001208,0.001208
42,2229.04,0.92711,0.45875,0.00684,0.96103,0.95321,0.97582,0.73393,0.98009,0.31281,0.00722,0.0011882,0.0011882,0.0011882
43,2279.73,0.91716,0.46323,0.00677,0.95889,0.96135,0.97006,0.73964,0.981,0.3198,0.00714,0.0011684,0.0011684,0.0011684
44,2331.26,0.88405,0.43702,0.00652,0.92409,0.96618,0.96917,0.7431,0.97068,0.32146,0.00695,0.0011486,0.0011486,0.0011486
45,2382.95,0.88811,0.43374,0.00657,0.92226,0.9743,0.98081,0.74774,0.97551,0.30795,0.00677,0.0011288,0.0011288,0.0011288
46,2434.9,0.89418,0.4456,0.00654,0.94741,0.96618,0.97339,0.73878,0.94583,0.30758,0.0068,0.001109,0.001109,0.001109
47,2489.24,0.8729,0.43376,0.00621,0.97511,0.96618,0.97823,0.75193,0.97179,0.28859,0.00691,0.0010892,0.0010892,0.0010892
